,US_10Y,PH_10Y
1/29/2016,1.93,4.207
2/29/2016,1.74,3.828
3/31/2016,1.784,4.69
4/29/2016,1.819,4.582
5/31/2016,1.834,4.473
6/30/2016,1.492,4.218
7/29/2016,1.458,3.247
8/31/2016,1.568,3.408
9/30/2016,1.606,3.645
10/31/2016,1.834,3.934
11/30/2016,2.367,4.52
12/30/2016,2.432,4.628
1/31/2017,2.451,4.3
2/28/2017,2.358,4.368
3/31/2017,2.395,5.055
4/28/2017,2.282,5.162
5/31/2017,2.198,4.972
6/30/2017,2.302,4.669
7/31/2017,2.292,4.674
8/31/2017,2.122,4.666
9/29/2017,2.326,4.609
10/31/2017,2.376,4.795
11/30/2017,2.415,5.555
12/29/2017,2.411,5.699
1/31/2018,2.72,6.207
2/28/2018,2.868,6.734
3/30/2018,2.744,6
4/30/2018,2.936,6.203
5/31/2018,2.822,6.099
6/29/2018,2.851,6.422
7/31/2018,2.964,6.545
8/31/2018,2.853,6.37
9/28/2018,3.056,7.213
10/31/2018,3.159,7.95
11/30/2018,3.013,7.035
12/31/2018,2.691,7.046
1/31/2019,2.635,6.403
2/28/2019,2.711,6.381
3/29/2019,2.414,5.622
4/30/2019,2.507,5.95
5/31/2019,2.142,5.571
6/28/2019,2,5.088
7/31/2019,2.021,4.744
8/30/2019,1.506,4.43
9/30/2019,1.673,4.695
10/31/2019,1.691,4.525
11/29/2019,1.776,4.69
12/31/2019,1.91,4.44
1/31/2020,1.519,4.575
2/28/2020,1.126,4.409
3/31/2020,0.699,5.068
4/30/2020,0.625,3.496
5/29/2020,0.644,3.166
6/30/2020,0.653,2.794
7/31/2020,0.536,2.69
8/31/2020,0.693,2.755
9/30/2020,0.677,3
10/30/2020,0.859,3.028
11/30/2020,0.842,3.047
12/31/2020,0.912,2.974
