,policy,loans_gth,yields,cof,nim,deposit,deposit_gth,gdp_gth,t3m,t5yr,t10yr
3Q16,3,0.164965927,3.895,0.979,3.016,8834.467,0.120578758,0.073298012,1.640621212,2.983075758,3.571121212
4Q16,3,0.161370788,3.771,0.935,2.925,9482.804,0.143180432,0.069130472,1.568092308,4.375184615,4.424923077
1Q17,3,0.184394952,3.826,0.947,2.978,9579.377,0.132906633,0.063741326,2.137661538,4.185107692,4.7202
2Q17,3,0.183164326,3.848,0.945,2.998,9922.699,0.143024683,0.071770994,2.231230769,4.185492308,4.970892308
3Q17,3,0.200908244,3.92,0.965,3.056,10241.145,0.159226131,0.075315964,2.323969231,4.498538462,4.821492308
4Q17,3,0.184220838,3.904,0.957,3.039,10614.366,0.119327785,0.066412057,2.486676923,4.772061538,5.252384615
1Q18,3,0.187621106,4.014,1.024,3.094,10860.962,0.13378584,0.064545599,2.813692308,5.024153846,6.203692308
2Q18,3.5,0.177172601,4.099,1.093,3.114,11018.885,0.110472564,0.06378895,3.393061538,5.498692308,6.346907692
3Q18,4.5,0.165065021,4.22,1.188,3.152,11264.506,0.099926424,0.061459711,3.425815385,6.120046154,6.686476923
4Q18,4.75,0.148204973,4.374,1.333,3.17,11595.959,0.09247778,0.063838009,5.137454545,7.353742424,7.488727273
1Q19,4.75,0.114903272,4.708,1.57,3.293,11531.099,0.06170144,0.058736792,5.571,6.221203125,6.35959375
2Q19,4.5,0.105070236,4.972,1.786,3.376,11702.76,0.062063902,0.056253986,5.307076923,5.594015385,5.685815385
3Q19,4,0.101867867,5.121,1.905,3.427,12060.203,0.070637541,0.063290336,3.606651515,4.519272727,4.703863636
4Q19,4,0.107723191,5.076,1.833,3.439,12588.038,0.085553855,0.066120921,3.210151515,4.220242424,4.597848485
1Q20,3.25,0.139522367,5.111,1.72,3.578,12884.603,0.117378578,-0.007336904,3.211907692,4.355861538,4.599292308
2Q20,2.25,0.082119223,5.046,1.528,3.681,13198.101,0.127776781,-0.16981292,2.502892308,3.245492308,3.581215385
3Q20,2.25,0.027204708,4.794,1.279,3.66,13312.188,0.103811271,-0.115850964,1.337590909,2.542378788,2.804257576
4Q20,2,-0.007003745,4.51,1.047,3.577,13818.681,0.097762892,-0.082621133,1.178075758,2.748984848,3.00830303
1Q21,2,-0.042819164,4.271,0.878,3.493,13946.624,0.08242559,-0.038984486,1.080953125,2.909859375,3.561234375
2Q21,2,-0.007554241,4.05,0.744,3.394,14198.974,0.075834622,0.118095104,1.316446154,3.208384615,3.997030769
3Q21,,,,,,,,,1.157121212,2.820893939,4.099060606
